newton: 2.8421787, n=0
newton: 0.1710427, n=42
newton: 0.1692312, n=43
newton: 0.1674765, n=44
newton: 0.1657758, n=45
newton: 0.1641263, n=46
newton: 0.1625256, n=47
newton: 0.1609712, n=48
newton: 0.1594609, n=49
newton: 0.1579927, n=50
newton: 0.1565646, n=51
newton: 0.1551749, n=52
newton: 0.1538218, n=53
newton: 0.1525038, n=54
newton: 0.1512194, n=55
newton: 0.1499671, n=56
newton: 0.1487457, n=57
newton: 0.1475538, n=58
newton: 0.1463903, n=59
newton: 0.1452541, n=60
newton: 0.1441442, n=61
newton: 0.1430595, n=62
newton: 0.1419990, n=63
newton: 0.1409620, n=64
newton: 0.1399475, n=65
newton: 0.1389547, n=66
newton: 0.1379829, n=67
newton: 0.1370314, n=68
newton: 0.1360993, n=69
newton: 0.1351862, n=70
newton: 0.1342913, n=71
newton: 0.1334140, n=72
newton: 0.1325538, n=73
newton: 0.1317102, n=74
newton: 0.1308825, n=75
newton: 0.1300703, n=76
newton: 0.1292732, n=77
newton: 0.1284906, n=78
newton: 0.1277221, n=79
newton: 0.1269673, n=80
newton: 0.1262258, n=81
newton: 0.1254973, n=82
newton: 0.1247812, n=83
newton: 0.1240774, n=84
newton: 0.1233853, n=85
newton: 0.1227048, n=86
newton: 0.1220355, n=87
newton: 0.1213771, n=88
newton: 0.1207292, n=89
newton: 0.1200917, n=90
newton: 0.1194642, n=91
newton: 0.1188465, n=92
newton: 0.1182383, n=93
newton: 0.1176394, n=94
newton: 0.1170496, n=95
newton: 0.1164686, n=96
newton: 0.1158962, n=97
newton: 0.1153322, n=98
newton: 0.1147763, n=99
newton: 0.1142285, n=100
bisection: 0.0000000, n=0
bisection: -0.5000000, n=1
bisection: -0.2500000, n=2
bisection: -0.1250000, n=3
bisection: -0.0625000, n=4
bisection: -0.0312500, n=5
bisection: -0.0156250, n=6
bisection: -0.0078125, n=7
bisection: -0.0039062, n=8
bisection: -0.0019531, n=9
bisection: -0.0009766, n=10
bisection: -0.0004883, n=11
bisection: -0.0002441, n=12
bisection: -0.0001221, n=13
bisection: -0.0000610, n=14
secant: 0.0000000, n=0
secant: 0.0000000, n=1
newton: -0.2931151, n=0
newton: 0.2143722, n=1
newton: -0.1612920, n=2
newton: 0.1227097, n=3
newton: -0.0938501, n=4
newton: 0.0719754, n=5
newton: -0.0552827, n=6
newton: 0.0424978, n=7
newton: -0.0326857, n=8
newton: 0.0251462, n=9
newton: -0.0193492, n=10
newton: 0.0148900, n=11
newton: -0.0114592, n=12
newton: 0.0088191, n=13
newton: -0.0067875, n=14
newton: 0.0052239, n=15
newton: -0.0040205, n=16
newton: 0.0030944, n=17
newton: -0.0023816, n=18
newton: 0.0018330, n=19
newton: -0.0014108, n=20
newton: 0.0010858, n=21
newton: -0.0008357, n=22
newton: 0.0006432, n=23
newton: -0.0004950, n=24
newton: 0.0003810, n=25
newton: -0.0002932, n=26
newton: 0.0002257, n=27
newton: -0.0001737, n=28
newton: 0.0001337, n=29
newton: -0.0001029, n=30
newton: 0.0000792, n=31
bisection: 0.0000000, n=0
bisection: -0.2500000, n=1
bisection: -0.1250000, n=2
bisection: -0.0625000, n=3
bisection: -0.0312500, n=4
bisection: -0.0156250, n=5
bisection: -0.0078125, n=6
bisection: -0.0039062, n=7
bisection: -0.0019531, n=8
bisection: -0.0009766, n=9
bisection: -0.0004883, n=10
bisection: -0.0002441, n=11
bisection: -0.0001221, n=12
bisection: -0.0000610, n=13
secant: 0.0000000, n=0
secant: 0.0000000, n=1
newton: 6.3610517, n=0
newton: 6.2340701, n=1
newton: 6.3080037, n=2
newton: 6.2688285, n=3
newton: 6.2909341, n=4
newton: 6.2788336, n=5
newton: 6.2855772, n=6
newton: 6.2818547, n=7
newton: 6.2839206, n=8
newton: 6.2827775, n=9
newton: 6.2834111, n=10
newton: 6.2830602, n=11
newton: 6.2832546, n=12
newton: 6.2831469, n=13
newton: 6.2832066, n=14
newton: 6.2831735, n=15
newton: 6.2831918, n=16
newton: 6.2831817, n=17
newton: 6.2831873, n=18
newton: 6.2831842, n=19
newton: 6.2831859, n=20
newton: 6.2831850, n=21
newton: 6.2831855, n=22
newton: 6.2831852, n=23
newton: 6.2831854, n=24
bisection: 4.0000000, n=0
bisection: 3.0000000, n=1
bisection: 3.5000000, n=2
bisection: 3.2500000, n=3
bisection: 3.1250000, n=4
bisection: 3.1875000, n=5
bisection: 3.1562500, n=6
bisection: 3.1406250, n=7
bisection: 3.1484375, n=8
bisection: 3.1445312, n=9
bisection: 3.1425781, n=10
bisection: 3.1416016, n=11
bisection: 3.1411133, n=12
bisection: 3.1413574, n=13
bisection: 3.1414795, n=14
bisection: 3.1415405, n=15
secant: 2.1544982, n=0
secant: 2.3363957, n=1
secant: 1.2211590, n=2
secant: 1.1010205, n=3
secant: 0.8989049, n=4
secant: 0.7696981, n=5
secant: 0.6513865, n=6
secant: 0.5557978, n=7
secant: 0.4739534, n=8
secant: 0.4049575, n=9
secant: 0.3461686, n=10
secant: 0.2961190, n=11
secant: 0.2533971, n=12
secant: 0.2169069, n=13
secant: 0.1857100, n=14
secant: 0.1590254, n=15
secant: 0.1361904, n=16
secant: 0.1361904, n=17
newton: 3.0625000, n=0
newton: 2.7813911, n=1
newton: 2.6101106, n=2
newton: 2.4913115, n=3
newton: 2.4033338, n=4
newton: 2.3355122, n=5
newton: 2.2817901, n=6
newton: 2.2383982, n=7
newton: 2.2028342, n=8
newton: 2.1733555, n=9
newton: 2.1487024, n=10
newton: 2.1279369, n=11
newton: 2.1103438, n=12
newton: 2.0953668, n=13
newton: 2.0825659, n=14
newton: 2.0715883, n=15
newton: 2.0621477, n=16
newton: 2.0540096, n=17
newton: 2.0469800, n=18
newton: 2.0408973, n=19
newton: 2.0356262, n=20
newton: 2.0310525, n=21
newton: 2.0270796, n=22
newton: 2.0236253, n=23
newton: 2.0206194, n=24
newton: 2.0180018, n=25
newton: 2.0157210, n=26
newton: 2.0137326, n=27
newton: 2.0119983, n=28
newton: 2.0104849, n=29
newton: 2.0091640, n=30
newton: 2.0080106, n=31
newton: 2.0070032, n=32
newton: 2.0061232, n=33
newton: 2.0053543, n=34
newton: 2.0046823, n=35
newton: 2.0040950, n=36
newton: 2.0035815, n=37
newton: 2.0031326, n=38
newton: 2.0027401, n=39
newton: 2.0023969, n=40
newton: 2.0020968, n=41
newton: 2.0018342, n=42
newton: 2.0016047, n=43
newton: 2.0014038, n=44
newton: 2.0012282, n=45
newton: 2.0010745, n=46
newton: 2.0009401, n=47
newton: 2.0008225, n=48
newton: 2.0007196, n=49
newton: 2.0006296, n=50
newton: 2.0005509, n=51
newton: 2.0004820, n=52
newton: 2.0004217, n=53
newton: 2.0003690, n=54
newton: 2.0003228, n=55
newton: 2.0002825, n=56
newton: 2.0002472, n=57
newton: 2.0002163, n=58
newton: 2.0001892, n=59
newton: 2.0001656, n=60
newton: 2.0001449, n=61
newton: 2.0001268, n=62
newton: 2.0001109, n=63
newton: 2.0000970, n=64
newton: 2.0000849, n=65
newton: 2.0000743, n=66
newton: 2.0000650, n=67
newton: 2.0000569, n=68
newton: 2.0000498, n=69
newton: 2.0000436, n=70
newton: 2.0000381, n=71
newton: 2.0000333, n=72
newton: 2.0000292, n=73
newton: 2.0000255, n=74
newton: 2.0000223, n=75
newton: 2.0000195, n=76
newton: 2.0000171, n=77
newton: 2.0000150, n=78
newton: 2.0000131, n=79
newton: 2.0000115, n=80
newton: 2.0000100, n=81
newton: 2.0000088, n=82
newton: 2.0000077, n=83
newton: 2.0000067, n=84
newton: 2.0000059, n=85
newton: 2.0000051, n=86
newton: 2.0000045, n=87
newton: 2.0000039, n=88
newton: 2.0000034, n=89
newton: 2.0000030, n=90
bisection: 2.0000000, n=0
bisection: 1.0000000, n=1
bisection: 1.5000000, n=2
bisection: 1.7500000, n=3
bisection: 1.8750000, n=4
bisection: 1.9375000, n=5
bisection: 1.9687500, n=6
bisection: 1.9843750, n=7
bisection: 1.9921875, n=8
bisection: 1.9960938, n=9
bisection: 1.9980469, n=10
bisection: 1.9990234, n=11
bisection: 1.9995117, n=12
bisection: 1.9997559, n=13
bisection: 1.9998779, n=14
bisection: 1.9999390, n=15
secant: 0.2500000, n=0
secant: 0.4843214, n=1
secant: 73.5785532, n=2
secant: 0.4843611, n=3
secant: 0.4844009, n=4
secant: 35.5597214, n=5
secant: 0.4847507, n=6
secant: 0.4851004, n=7
secant: 35.4416874, n=8
secant: 0.4854537, n=9
secant: 0.4858069, n=10
secant: 35.2897189, n=11
secant: 0.4861647, n=12
secant: 0.4865225, n=13
secant: 35.1368035, n=14
secant: 0.4868850, n=15
secant: 0.4872474, n=16
secant: 34.9828190, n=17
secant: 0.4876147, n=18
secant: 0.4879819, n=19
secant: 34.8277465, n=20
secant: 0.4883540, n=21
secant: 0.4887261, n=22
secant: 34.6715657, n=23
secant: 0.4891032, n=24
newton: 2.7000051, n=0
newton: 2.5954047, n=1
newton: 2.5249470, n=2
newton: 2.4714425, n=3
newton: 2.4282546, n=4
newton: 2.3920478, n=5
newton: 2.3608922, n=6
newton: 2.3335653, n=7
newton: 2.3092423, n=8
newton: 2.2873393, n=9
newton: 2.2674278, n=10
newton: 2.2491837, n=11
newton: 2.2323559, n=12
newton: 2.2167460, n=13
newton: 2.2021942, n=14
newton: 2.1885702, n=15
newton: 2.1757664, n=16
newton: 2.1636924, n=17
newton: 2.1522723, n=18
newton: 2.1414411, n=19
newton: 2.1311430, n=20
newton: 2.1213298, n=21
newton: 2.1119595, n=22
newton: 2.1029952, n=23
newton: 2.0944043, n=24
newton: 2.0861583, n=25
newton: 2.0782314, n=26
newton: 2.0706008, n=27
newton: 2.0632460, n=28
newton: 2.0561484, n=29
newton: 2.0492915, n=30
newton: 2.0426599, n=31
newton: 2.0362401, n=32
newton: 2.0300193, n=33
newton: 2.0239861, n=34
newton: 2.0181301, n=35
newton: 2.0124414, n=36
newton: 2.0069111, n=37
newton: 2.0015312, n=38
newton: 1.9962938, n=39
newton: 1.9911921, n=40
newton: 1.9862193, n=41
newton: 1.9813695, n=42
newton: 1.9766369, n=43
newton: 1.9720163, n=44
newton: 1.9675027, n=45
newton: 1.9630914, n=46
newton: 1.9587782, n=47
newton: 1.9545589, n=48
newton: 1.9504297, n=49
newton: 1.9463871, n=50
newton: 1.9424275, n=51
newton: 1.9385479, n=52
newton: 1.9347452, n=53
newton: 1.9310165, n=54
newton: 1.9273592, n=55
newton: 1.9237706, n=56
newton: 1.9202484, n=57
newton: 1.9167902, n=58
newton: 1.9133939, n=59
newton: 1.9100574, n=60
newton: 1.9067788, n=61
newton: 1.9035560, n=62
newton: 1.9003874, n=63
newton: 1.8972712, n=64
newton: 1.8942058, n=65
newton: 1.8911897, n=66
newton: 1.8882213, n=67
newton: 1.8852993, n=68
newton: 1.8824223, n=69
newton: 1.8795889, n=70
newton: 1.8767980, n=71
newton: 1.8740483, n=72
newton: 1.8713387, n=73
newton: 1.8686681, n=74
newton: 1.8660355, n=75
newton: 1.8634398, n=76
newton: 1.8608800, n=77
newton: 1.8583552, n=78
newton: 1.8558646, n=79
newton: 1.8534072, n=80
newton: 1.8509822, n=81
newton: 1.8485889, n=82
newton: 1.8462263, n=83
newton: 1.8438939, n=84
newton: 1.8415908, n=85
newton: 1.8393163, n=86
newton: 1.8370699, n=87
newton: 1.8348508, n=88
newton: 1.8326585, n=89
newton: 1.8304922, n=90
newton: 1.8283515, n=91
newton: 1.8262358, n=92
newton: 1.8241445, n=93
newton: 1.8220770, n=94
newton: 1.8200329, n=95
newton: 1.8180117, n=96
newton: 1.8160129, n=97
newton: 1.8140360, n=98
newton: 1.8120806, n=99
newton: 1.8101462, n=100
bisection: 1.5000000, n=0
bisection: 0.7500000, n=1
bisection: 1.1250000, n=2
bisection: 0.9375000, n=3
bisection: 1.0312500, n=4
bisection: 0.9843750, n=5
bisection: 1.0078125, n=6
bisection: 0.9960938, n=7
bisection: 1.0019531, n=8
bisection: 0.9990234, n=9
bisection: 1.0004883, n=10
bisection: 0.9997559, n=11
bisection: 1.0001221, n=12
bisection: 0.9999390, n=13
bisection: 1.0000305, n=14
newton: -11.6449586, n=0
newton: 2.5091578, n=1
newton: -11.4589118, n=2
newton: 2.6952046, n=3
newton: -11.3304092, n=4
newton: 2.8237072, n=5
newton: -11.2309276, n=6
newton: 2.9231889, n=7
newton: -11.1493427, n=8
newton: 3.0047737, n=9
newton: -11.0800106, n=10
newton: 3.0741058, n=11
newton: -11.0196364, n=12
newton: 3.1344800, n=13
newton: -10.9661164, n=14
newton: 3.1880000, n=15
newton: -10.9180200, n=16
newton: 3.2360964, n=17
newton: -10.8743278, n=18
newton: 3.2797886, n=19
newton: -10.8342863, n=20
newton: 3.3198301, n=21
newton: -10.7973225, n=22
newton: 3.3567939, n=23
newton: -10.7629895, n=24
newton: 3.3911269, n=25
newton: -10.7309323, n=26
newton: 3.4231841, n=27
newton: -10.7008639, n=28
newton: 3.4532525, n=29
newton: -10.6725486, n=30
newton: 3.4815678, n=31
newton: -10.6457908, n=32
newton: 3.5083256, n=33
newton: -10.6204261, n=34
newton: 3.5336903, n=35
newton: -10.5963149, n=36
newton: 3.5578015, n=37
newton: -10.5733379, n=38
newton: 3.5807785, n=39
newton: -10.5513922, n=40
newton: 3.6027242, n=41
newton: -10.5303881, n=42
newton: 3.6237283, n=43
newton: -10.5102475, n=44
newton: 3.6438689, n=45
newton: -10.4909015, n=46
newton: 3.6632149, n=47
newton: -10.4722892, n=48
newton: 3.6818271, n=49
newton: -10.4543567, n=50
newton: 3.6997597, n=51
newton: -10.4370555, n=52
newton: 3.7170609, n=53
newton: -10.4203424, n=54
newton: 3.7337740, n=55
newton: -10.4041783, n=56
newton: 3.7499380, n=57
newton: -10.3885282, n=58
newton: 3.7655881, n=59
newton: -10.3733602, n=60
newton: 3.7807562, n=61
newton: -10.3586451, n=62
newton: 3.7954713, n=63
newton: -10.3443565, n=64
newton: 3.8097599, n=65
newton: -10.3304703, n=66
newton: 3.8236461, n=67
newton: -10.3169643, n=68
newton: 3.8371521, n=69
newton: -10.3038180, n=70
newton: 3.8502984, n=71
newton: -10.2910128, n=72
newton: 3.8631036, n=73
newton: -10.2785311, n=74
newton: 3.8755852, n=75
newton: -10.2663571, n=76
newton: 3.8877593, n=77
newton: -10.2544758, n=78
newton: 3.8996406, n=79
newton: -10.2428734, n=80
newton: 3.9112430, n=81
newton: -10.2315370, n=82
newton: 3.9225794, n=83
newton: -10.2204546, n=84
newton: 3.9336617, n=85
newton: -10.2096151, n=86
newton: 3.9445013, n=87
newton: -10.1990080, n=88
newton: 3.9551084, n=89
newton: -10.1886234, n=90
newton: 3.9654930, n=91
newton: -10.1784522, n=92
newton: 3.9756641, n=93
newton: -10.1684858, n=94
newton: 3.9856306, n=95
newton: -10.1587160, n=96
newton: 3.9954004, n=97
newton: -10.1491352, n=98
newton: 4.0049812, n=99
newton: -10.1397361, n=100
bisection: 0.0000000, n=0
bisection: -1.0000000, n=1
bisection: -0.5000000, n=2
bisection: -0.2500000, n=3
bisection: -0.1250000, n=4
bisection: -0.0625000, n=5
bisection: -0.0312500, n=6
bisection: -0.0156250, n=7
bisection: -0.0078125, n=8
bisection: -0.0039062, n=9
bisection: -0.0019531, n=10
bisection: -0.0009766, n=11
bisection: -0.0004883, n=12
bisection: -0.0002441, n=13
bisection: -0.0001221, n=14
bisection: -0.0000610, n=15
secant: 0.0000000, n=0
secant: 0.0000000, n=1
newton: 1.8002245, n=0
newton: 1.7305994, n=1
newton: 1.6837266, n=2
newton: 1.6481514, n=3
newton: 1.6194510, n=4
newton: 1.5954029, n=5
newton: 1.5747208, n=6
newton: 1.5565901, n=7
newton: 1.5404610, n=8
newton: 1.5259445, n=9
newton: 1.5127550, n=10
newton: 1.5006765, n=11
newton: 1.4895418, n=12
newton: 1.4792184, n=13
newton: 1.4696001, n=14
newton: 1.4606000, n=15
newton: 1.4521462, n=16
newton: 1.4441788, n=17
newton: 1.4366469, n=18
newton: 1.4295073, n=19
newton: 1.4227229, n=20
newton: 1.4162616, n=21
newton: 1.4100952, n=22
newton: 1.4041992, n=23
newton: 1.3985521, n=24
newton: 1.3931346, n=25
newton: 1.3879297, n=26
newton: 1.3829221, n=27
newton: 1.3780982, n=28
newton: 1.3734456, n=29
newton: 1.3689533, n=30
newton: 1.3646111, n=31
newton: 1.3604098, n=32
newton: 1.3563411, n=33
newton: 1.3523974, n=34
newton: 1.3485715, n=35
newton: 1.3448572, n=36
newton: 1.3412483, n=37
newton: 1.3377395, n=38
newton: 1.3343256, n=39
newton: 1.3310020, n=40
newton: 1.3277642, n=41
newton: 1.3246083, n=42
newton: 1.3215305, n=43
newton: 1.3185272, n=44
newton: 1.3155951, n=45
newton: 1.3127311, n=46
newton: 1.3099324, n=47
newton: 1.3071962, n=48
newton: 1.3045200, n=49
newton: 1.3019014, n=50
newton: 1.2993380, n=51
newton: 1.2968279, n=52
newton: 1.2943689, n=53
newton: 1.2919592, n=54
newton: 1.2895970, n=55
newton: 1.2872805, n=56
newton: 1.2850082, n=57
newton: 1.2827784, n=58
newton: 1.2805899, n=59
newton: 1.2784411, n=60
newton: 1.2763308, n=61
newton: 1.2742576, n=62
newton: 1.2722205, n=63
newton: 1.2702183, n=64
newton: 1.2682499, n=65
newton: 1.2663142, n=66
newton: 1.2644102, n=67
newton: 1.2625371, n=68
newton: 1.2606939, n=69
newton: 1.2588798, n=70
newton: 1.2570939, n=71
newton: 1.2553354, n=72
newton: 1.2536035, n=73
newton: 1.2518976, n=74
newton: 1.2502169, n=75
newton: 1.2485607, n=76
newton: 1.2469285, n=77
newton: 1.2453195, n=78
newton: 1.2437332, n=79
newton: 1.2421690, n=80
newton: 1.2406263, n=81
newton: 1.2391047, n=82
newton: 1.2376035, n=83
newton: 1.2361223, n=84
newton: 1.2346607, n=85
newton: 1.2332180, n=86
newton: 1.2317940, n=87
newton: 1.2303882, n=88
newton: 1.2290001, n=89
newton: 1.2276294, n=90
newton: 1.2262756, n=91
newton: 1.2249384, n=92
newton: 1.2236174, n=93
newton: 1.2223123, n=94
newton: 1.2210227, n=95
newton: 1.2197483, n=96
newton: 1.2184887, n=97
newton: 1.2172438, n=98
newton: 1.2160130, n=99
newton: 1.2147963, n=100
